שובר
התאפיין
סיבך
נחבא
הזכיר
חפר
השתטח
הדהיר
התפיח
הזים
הכלים
הקהיל
הגיד
הוקיע
תופף
שאב
נעזב
קטף
הקריב
אפסן
פסע
נזעף
הכליא
איבק
ריחף
נתקע
התחייב
סיפח
בייל
התריע
הצביע
התלחש
הטיח
גלגל
השתולל
נגח
רזה
תוכנן
נמק
פוסל
יולד
אירע
התערב
טייח
גאל
הרעיף
חזר
הפריע
הושיע
עץ
פילש
נעלם
הוגדש
מומש
מצץ
הוברר
הרגיל
רימז
נקצץ
חותן
ליבב
חודש
שתל
לוכד
התעדן
הצטייר
השקה
התרברב
ייקר
צלב
הואשם
השתנה
צורף
הפחית
מרט
נחזה
נרתע
ציווה
הצטלצל
החזיק
ניתן
חיכה
נמלט
הופגז
התבדל
עודן
הודלף
השמיד
קרס
הציף
שיווה
פגע
שבע
הגיר
קיטלג
נבנה
שש
מימש
התפלמס
העציב
נבעט
החייה
טמן
נרפא
חובר
ריכז
הכביד
עישר
הורעל
הצחיק
הדביר
הועמס
סיבר
סחט
ניגן
השתלם
התפלח
בהה
הואץ
בודד
סלח
הסתכל
מיסך
הודק
הפנט
התכנס
יושם
נגזל
חלש
אוחד
נשחת
ההדיר
רץ
סנוור
מוצה
איכן
נגדע
החריד
ניהל
חוזר
התייתר
הוקף
פיצח
קיפל
חשך
העליב
התפתל
סידר
מסגר
התנחם
סכך
ליכד
כופף
עיבר
התבזה
תייק
צותת
יירט
אזל
התאסף
סיקל
טהר
התגושש
ענה
איגף
רצח
סתר
טרף
כיזב
עיסה
מילא
נקע
ליחך
לן
נהפך
נאבק
הוקלד
סימר
ניגש
דבק
משמש
המית
נשכר
נדפק
סורס
ניקר
הרגיז
שפשף
נקרם
שטף
הוחזר
תייג
צויר
התלכד
בחן
התקנא
שקט
הפליא
הרבה
הוטרף
זיכה
היטהר
חיתן
השתיל
מיגן
הגליש
גמל
מסר
ניקב
חילק
הואט
התקלס
שאף
הוחמץ
מזער
הופלל
רמז
שימר
התפורר
נשאף
החליש
רגז
הצמיד
התעטף
זוהם
התנגד
הוכר
החכיר
התמזל
הכזיב
קטם
פוצץ
פיסל
נמנה
איורר
התרוצץ
מומן
הושחת
הופנם
צוייד
נהה
ניכה
עיבה
נכלא
סער
בלם
הורש
התכווץ
מעך
שלשל
הוביל
אשפז
נלקח
אפף
רגן
העתיק
נעצם
רצה
הוחבא
הזיע
דפק
טורפד
התברר
צונן
צידד
שיכל
