Base,-al form, -less form 
pastor,pastural,pastorless
pasture,pastural,pastureless
patron,patronal,patronless
pass,pausal,passless
pause,pausal,pauseless
penni,penial,penniless
perimeter,perimetral,perimeterless
phase,phaseal,phaseless
phrase,phrasal,phraseless
picture,pictural,pictureless
pipe,pineal,pipeless
pip,pipal,pipless
plan,plagal,planless
play,plagal,playless
plug,plagal,plugless
planet,planetal,planetless
plant,planetal,plantless
plaint,plantal,plaintless
plait,plantal,plaitless
planet,plantal,planetless
plank,plantal,plankless
plan,plantal,planless
plant,plantal,plantless
plug,plural,plugless
plum,plural,plumless
plume,pluteal,plumeless
police,policial,policeless
pomp,pompal,pompless
poet,pontal,poetless
point,pontal,pointless
port,pontal,portless
post,pontal,postless
population,populational,populationless
poet,portal,poetless
pork,portal,porkless
port,portal,portless
post,portal,postless
portion,portional,portionless
position,positional,positionless
possession,possessional,possessionless
poet,postal,poetless
port,postal,portless
post,postal,postless
pound,poundal,poundless
precedent,precedential,precedentless
prejudice,prejudicial,prejudiceless
pressure,pressural,pressureless
pretension,pretensional,pretensionless
priest,priestal,priestless
preb,probal,prebless
prop,probal,propless
profession,professional,professionless
proportion,proportional,proportionless
protector,protectoral,protectorless
protector,protectorial,protectorless
provision,provisional,provisionless
pulp,pulpal,pulpless
pump,pulpal,pumpless
pulpit,pulpital,pulpitless
punch,punctal,punchless
purse,pursual,purseless
queen,quernal,queenless
rack,racial,rackless
rage,rameal,rageless
rate,rameal,rateless
rasca,rascal,rascaless
ration,rational,rationless
reach,rechal,reachless
reck,rechal,reckless
reck,recoal,reckless
recount,recountal,recountless
reck,rectal,reckless
rent,rectal,rentless
rest,rectal,restless
redemption,redemptional,redemptionless
redress,redressal,redressless
reflection,reflectional,reflectionless
rein,reginal,reinless
rein,regnal,reinless
relation,relational,relationless
remedi,remedial,remediless
rent,rental,rentless
rest,rental,restless
repeal,repeatal,repealless
rest,reseal,restless
reserve,reserval,reserveless
response,responsal,responseless
rest,resteal,restless
rein,retinal,reinless
retrieve,retrieval,retrieveless
reverse,reversal,reverseless
review,reviewal,reviewless
rhythm,rhythmal,rhythmless
rift,rictal,riftless
rim,rimal,rimless
rite,ritual,riteless
robe,roseal,robeless
rose,roseal,roseless
rudder,ruderal,rudderless
